system:index,area_km2,year,class,band,class_name,.geo
15_0_0,5400.765246,2000,3,classification_2000,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_1,6218.936695,2000,4,classification_2000,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_2,6.124110923,2000,9,classification_2000,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_3,618.9289158,2000,11,classification_2000,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_4,1181.34982,2000,12,classification_2000,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_5,8769.276748,2000,15,classification_2000,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_6,0.0739569082,2000,20,classification_2000,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_7,2227.714131,2000,21,classification_2000,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_8,82.71481825,2000,24,classification_2000,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_9,108.2641718,2000,25,classification_2000,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_10,288.6918473,2000,29,classification_2000,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_11,144.0366372,2000,33,classification_2000,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_12,2405.191645,2000,39,classification_2000,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_13,257.2828766,2000,41,classification_2000,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_14,15.6693416,2000,62,classification_2000,Cotton,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,5434.324915,2001,3,classification_2001,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_1,6054.388147,2001,4,classification_2001,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_2,8.329608901,2001,9,classification_2001,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_3,475.6474594,2001,11,classification_2001,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_4,1332.715818,2001,12,classification_2001,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_5,8864.023834,2001,15,classification_2001,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_6,0.07997536407,2001,20,classification_2001,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_7,2184.407468,2001,21,classification_2001,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_8,83.80553467,2001,24,classification_2001,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_9,106.5370942,2001,25,classification_2001,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_10,288.6738023,2001,29,classification_2001,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_11,124.8960379,2001,33,classification_2001,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
